Razonamiento;Lectura_critica;Competencias_ciudadanas;Ingles;Resultado
150;110;122;140;Aceptable Desmpeno
187;143;171;167;Buen Desempeno
191;156;185;158;Buen Desempeno
120;101;116;113;Aceptable Desmpeno
136;142;96;114;Aceptable Desmpeno
132;145;132;138;Aceptable Desmpeno
158;161;171;122;Buen Desempeno
170;162;162;195;Buen Desempeno
141;145;155;145;Aceptable Desmpeno
125;95;127;99;Aceptable Desmpeno
129;145;151;145;Aceptable Desmpeno
173;149;164;145;Buen Desempeno
141;148;117;106;Aceptable Desmpeno
148;152;144;84;Aceptable Desmpeno
157;170;181;166;Buen Desempeno
141;153;166;123;Aceptable Desmpeno
174;187;175;162;Buen Desempeno
195;165;200;175;Buen Desempeno
115;105;85;127;Regular Desempeno
178;164;117;130;Buen Desempeno
156;156;94;183;Buen Desempeno
146;134;144;99;Aceptable Desmpeno
173;143;150;133;Buen Desempeno
165;203;171;152;Buen Desempeno
103;159;145;161;Aceptable Desmpeno
122;119;93;145;Aceptable Desmpeno
146;134;103;155;Aceptable Desmpeno
134;148;106;116;Aceptable Desmpeno
90;92;94;116;Regular Desempeno
198;137;130;116;Aceptable Desmpeno
127;110;113;106;Aceptable Desmpeno
110;101;133;137;Aceptable Desmpeno
160;134;118;140;Aceptable Desmpeno
132;96;78;155;Aceptable Desmpeno
141;167;139;147;Buen Desempeno
185;186;155;162;Buen Desempeno
156;117;122;131;Aceptable Desmpeno
179;171;185;173;Buen Desempeno
157;147;127;135;Aceptable Desmpeno
173;178;163;140;Buen Desempeno
126;102;135;127;Aceptable Desmpeno
138;127;124;137;Aceptable Desmpeno
102;137;146;102;Aceptable Desmpeno
111;119;134;149;Aceptable Desmpeno
121;111;118;142;Aceptable Desmpeno
115;103;87;156;Aceptable Desmpeno
169;132;101;112;Aceptable Desmpeno
168;138;113;133;Aceptable Desmpeno
170;138;120;144;Aceptable Desmpeno
152;139;116;101;Aceptable Desmpeno
121;99;117;129;Aceptable Desmpeno
187;167;144;106;Buen Desempeno
196;164;143;144;Buen Desempeno
178;138;140;147;Buen Desempeno
144;111;116;148;Aceptable Desmpeno
122;90;119;96;Regular Desempeno
136;87;74;129;Regular Desempeno
154;155;154;135;Buen Desempeno
189;190;151;168;Buen Desempeno
120;141;147;137;Aceptable Desmpeno
168;162;136;182;Buen Desempeno
100;137;139;111;Aceptable Desmpeno
97;99;104;110;Regular Desempeno
67;105;159;140;Aceptable Desmpeno
151;187;165;193;Buen Desempeno
186;140;152;149;Buen Desempeno
151;129;114;132;Aceptable Desmpeno
116;117;129;139;Aceptable Desmpeno
156;120;114;129;Aceptable Desmpeno
121;153;141;158;Aceptable Desmpeno
117;139;124;161;Aceptable Desmpeno
140;150;151;133;Aceptable Desmpeno
146;171;142;130;Buen Desempeno
120;149;121;177;Aceptable Desmpeno
155;159;165;147;Buen Desempeno
154;161;83;112;Aceptable Desmpeno
116;175;177;176;Buen Desempeno
158;158;136;149;Buen Desempeno
137;177;148;161;Buen Desempeno
151;198;194;174;Buen Desempeno
105;146;102;152;Aceptable Desmpeno
90;147;145;190;Aceptable Desmpeno
110;119;125;167;Aceptable Desmpeno
143;184;186;179;Buen Desempeno
129;168;202;150;Buen Desempeno
177;167;175;185;Buen Desempeno
117;110;114;145;Aceptable Desmpeno
123;160;168;154;Buen Desempeno
139;154;154;152;Buen Desempeno
99;122;98;156;Aceptable Desmpeno
115;178;181;189;Buen Desempeno
111;181;188;177;Buen Desempeno
130;91;103;147;Aceptable Desmpeno
156;194;195;201;Buen Desempeno
119;129;129;171;Aceptable Desmpeno
87;170;133;148;Aceptable Desmpeno
171;164;193;170;Buen Desempeno
128;169;178;187;Buen Desempeno
142;153;160;123;Aceptable Desmpeno
134;184;179;167;Buen Desempeno
155;175;153;160;Buen Desempeno
181;200;190;181;Buen Desempeno
163;180;180;169;Buen Desempeno
96;142;150;143;Aceptable Desmpeno
106;159;171;156;Buen Desempeno
139;173;92;161;Aceptable Desmpeno
102;149;136;146;Aceptable Desmpeno
141;172;151;137;Buen Desempeno
150;197;156;152;Buen Desempeno
144;181;184;153;Buen Desempeno
127;158;204;188;Buen Desempeno
151;192;196;161;Buen Desempeno
149;184;182;185;Buen Desempeno
155;139;188;157;Buen Desempeno
145;191;173;175;Buen Desempeno
139;196;153;182;Buen Desempeno
183;191;187;189;Buen Desempeno
160;206;190;161;Buen Desempeno
117;126;123;149;Aceptable Desmpeno
162;206;205;189;Buen Desempeno
149;204;194;181;Buen Desempeno
76;157;161;202;Buen Desempeno
162;168;176;195;Buen Desempeno
125;136;96;135;Aceptable Desmpeno
129;138;102;156;Aceptable Desmpeno
142;161;176;202;Buen Desempeno
157;169;171;163;Buen Desempeno
152;194;200;153;Buen Desempeno
108;163;163;180;Buen Desempeno
175;182;168;127;Buen Desempeno
182;189;163;141;Buen Desempeno
157;208;154;163;Buen Desempeno
182;207;182;178;Buen Desempeno
142;166;144;205;Buen Desempeno
161;161;171;180;Buen Desempeno
159;194;195;154;Buen Desempeno
152;162;158;202;Buen Desempeno
179;210;170;170;Buen Desempeno
148;164;192;179;Buen Desempeno
163;188;203;199;Buen Desempeno
103;194;186;177;Buen Desempeno
111;150;108;124;Aceptable Desmpeno
166;144;124;166;Buen Desempeno
168;182;189;194;Buen Desempeno
162;200;202;174;Buen Desempeno
139;150;177;181;Buen Desempeno
168;108;152;148;Aceptable Desmpeno
145;135;148;158;Aceptable Desmpeno
165;172;155;173;Buen Desempeno
159;183;182;169;Buen Desempeno
156;164;160;168;Buen Desempeno
142;195;163;175;Buen Desempeno
143;141;145;132;Aceptable Desmpeno
167;179;189;193;Buen Desempeno
129;194;184;182;Buen Desempeno
144;192;190;171;Buen Desempeno
150;181;184;195;Buen Desempeno
168;176;179;174;Buen Desempeno
111;140;157;143;Aceptable Desmpeno
194;165;177;186;Buen Desempeno
182;217;206;203;Buen Desempeno
173;153;146;152;Buen Desempeno
175;181;199;179;Buen Desempeno
132;156;165;203;Buen Desempeno
116;154;116;96;Aceptable Desmpeno
170;200;179;190;Buen Desempeno
143;185;186;156;Buen Desempeno
130;122;145;167;Aceptable Desmpeno
163;200;187;187;Buen Desempeno
134;156;173;176;Buen Desempeno
154;157;91;188;Buen Desempeno
140;188;165;215;Buen Desempeno
141;140;107;184;Aceptable Desmpeno
161;171;167;187;Buen Desempeno
127;156;145;135;Aceptable Desmpeno
131;174;151;144;Buen Desempeno
150;175;160;175;Buen Desempeno
140;189;176;183;Buen Desempeno
148;176;163;114;Buen Desempeno
144;169;176;185;Buen Desempeno
122;165;158;142;Aceptable Desmpeno
129;157;118;145;Aceptable Desmpeno
119;131;96;154;Aceptable Desmpeno
171;193;191;140;Buen Desempeno
150;175;171;178;Buen Desempeno
111;127;130;126;Aceptable Desmpeno
159;182;193;175;Buen Desempeno
128;146;114;179;Aceptable Desmpeno
110;153;137;129;Aceptable Desmpeno
205;222;198;203;Buen Desempeno
117;118;137;166;Aceptable Desmpeno
149;194;184;196;Buen Desempeno
138;147;136;141;Aceptable Desmpeno
101;227;215;162;Buen Desempeno
95;206;188;153;Buen Desempeno
147;124;112;132;Aceptable Desmpeno
95;193;168;150;Buen Desempeno
107;184;160;141;Buen Desempeno
155;178;149;128;Buen Desempeno
114;115;96;102;Regular Desempeno
146;179;157;140;Buen Desempeno
110;130;125;135;Aceptable Desmpeno
142;112;159;130;Aceptable Desmpeno
144;162;172;133;Buen Desempeno
130;166;191;152;Buen Desempeno
142;137;92;106;Aceptable Desmpeno
105;139;114;132;Aceptable Desmpeno
127;105;120;109;Aceptable Desmpeno
131;118;86;82;Regular Desempeno
152;157;128;145;Aceptable Desmpeno
156;168;161;132;Buen Desempeno
170;170;169;155;Buen Desempeno
111;138;85;140;Aceptable Desmpeno
117;144;114;131;Aceptable Desmpeno
116;121;122;80;Regular Desempeno
174;194;194;159;Buen Desempeno
106;133;112;77;Regular Desempeno
168;181;186;151;Buen Desempeno
131;162;131;113;Aceptable Desmpeno
121;148;160;145;Aceptable Desmpeno
102;149;168;113;Aceptable Desmpeno
86;103;105;116;Regular Desempeno
109;172;173;152;Buen Desempeno
127;117;137;77;Aceptable Desmpeno
121;122;121;134;Aceptable Desmpeno
150;156;147;148;Buen Desempeno
180;183;174;105;Buen Desempeno
80;114;117;107;Regular Desempeno
106;157;181;114;Aceptable Desmpeno
126;186;137;123;Aceptable Desmpeno
114;122;105;108;Aceptable Desmpeno
148;176;188;158;Buen Desempeno
139;162;86;129;Aceptable Desmpeno
115;94;128;104;Aceptable Desmpeno
150;136;115;148;Aceptable Desmpeno
126;198;186;78;Buen Desempeno
126;137;151;140;Aceptable Desmpeno
98;170;126;148;Aceptable Desmpeno
123;146;175;163;Buen Desempeno
109;160;157;97;Aceptable Desmpeno
156;163;183;75;Aceptable Desmpeno
153;189;212;164;Buen Desempeno
113;142;107;112;Aceptable Desmpeno
87;122;84;92;Regular Desempeno
79;65;102;91;Regular Desempeno
138;163;162;136;Buen Desempeno
153;178;105;147;Aceptable Desmpeno
159;161;105;117;Aceptable Desmpeno
124;111;97;99;Regular Desempeno
166;158;129;155;Buen Desempeno
117;132;77;95;Regular Desempeno
115;118;119;97;Aceptable Desmpeno
156;158;157;147;Buen Desempeno
143;138;102;130;Aceptable Desmpeno
114;126;146;140;Aceptable Desmpeno
120;123;126;134;Aceptable Desmpeno
102;123;105;119;Aceptable Desmpeno
88;108;114;103;Regular Desempeno
99;141;132;114;Aceptable Desmpeno
109;110;88;112;Regular Desempeno
115;152;108;77;Aceptable Desmpeno
144;148;129;145;Aceptable Desmpeno
116;129;129;116;Aceptable Desmpeno
112;125;100;114;Aceptable Desmpeno
137;159;146;141;Aceptable Desmpeno
125;120;88;94;Regular Desempeno
114;154;166;142;Aceptable Desmpeno
117;148;99;142;Aceptable Desmpeno
90;129;105;93;Regular Desempeno
